epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,1383.87,1.11279,1.33938,1.03397,1.16179,0.73302,0.82424,0.83313,0.53136,0.73741,0.81573,0.84146,0.47191,1.09029,0.99767,0.9124,1.12036,0.00151187,0.00151187,0.00151187
49,1410.37,1.14712,1.25337,0.96845,1.17684,0.77514,0.75674,0.81277,0.52963,0.75661,0.73855,0.79231,0.44107,1.03744,1.00312,0.89509,1.09737,0.00150857,0.00150857,0.00150857
50,1439.55,1.11275,1.22855,1.01239,1.15509,0.77638,0.79697,0.82341,0.56294,0.77797,0.79333,0.81968,0.45811,0.93784,0.95177,0.87151,1.06287,0.00150527,0.00150527,0.00150527
51,1466.31,1.11613,1.26001,0.92921,1.15373,0.79166,0.80915,0.86789,0.56662,0.7862,0.78855,0.85782,0.47628,0.98466,0.9741,0.84734,1.08327,0.00150197,0.00150197,0.00150197
52,1492.49,1.11688,1.25726,0.94756,1.16455,0.80074,0.80118,0.86235,0.57893,0.7992,0.79328,0.86631,0.47059,0.96768,1.03627,0.83627,1.06338,0.00149867,0.00149867,0.00149867
53,1520.34,1.11012,1.22956,0.94465,1.12187,0.74475,0.81744,0.85202,0.60199,0.73172,0.82106,0.84872,0.48138,0.9515,0.96755,0.81889,1.04512,0.00149537,0.00149537,0.00149537
54,1548.05,1.06471,1.18429,0.9194,1.1181,0.82305,0.75337,0.83704,0.54887,0.83038,0.74601,0.81999,0.44073,1.05136,1.04352,0.83518,1.08467,0.00149207,0.00149207,0.00149207
55,1584.37,1.0824,1.2277,0.90947,1.12937,0.77781,0.81184,0.85837,0.54634,0.799,0.78798,0.85558,0.45848,1.05341,0.99626,0.87823,1.08725,0.00148876,0.00148876,0.00148876
56,1611.12,1.09667,1.25604,0.94803,1.13191,0.85322,0.75124,0.8668,0.57975,0.85494,0.75305,0.8622,0.46439,1.02682,0.9843,0.89892,1.06985,0.00148546,0.00148546,0.00148546
57,1644.76,1.08828,1.19269,0.89134,1.13195,0.85267,0.81,0.89247,0.60822,0.85728,0.80877,0.89578,0.5056,0.98751,0.92786,0.77856,1.05236,0.00148216,0.00148216,0.00148216
58,1672.8,1.10024,1.20818,0.91017,1.15061,0.88451,0.80397,0.89917,0.62194,0.88453,0.80395,0.89689,0.50283,0.92896,0.91108,0.81473,1.03839,0.00147886,0.00147886,0.00147886
59,1699.79,1.05827,1.20245,0.92022,1.12927,0.81775,0.79716,0.88325,0.59888,0.80853,0.76056,0.85084,0.48207,0.96146,0.97323,0.78021,1.03593,0.00147556,0.00147556,0.00147556
