epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,527.612,1.15084,1.34091,0.9447,1.12442,0.67136,0.5754,0.61918,0.32393,0.67136,0.5754,0.62292,0.29095,1.77832,1.8052,1.6307,1.41168,0.00133693,0.00133693,0.00133693
42,542.138,1.16048,1.42005,1.01354,1.14748,0.65685,0.57562,0.63745,0.34669,0.60809,0.62225,0.62613,0.2885,1.61082,1.83659,1.69147,1.39127,0.00132868,0.00132868,0.00132868
43,555.111,1.12846,1.2999,0.94474,1.13259,0.62964,0.67998,0.67556,0.41075,0.62318,0.68913,0.65602,0.33124,1.52517,1.69113,1.26488,1.4239,0.00132043,0.00132043,0.00132043
44,565.497,1.12928,1.34712,0.96195,1.12777,0.63774,0.63642,0.62976,0.37702,0.65377,0.65586,0.66198,0.31419,1.43102,1.81099,1.41769,1.37113,0.00131218,0.00131218,0.00131218
45,577.577,1.14544,1.33467,1.00233,1.12837,0.52196,0.5824,0.57483,0.33426,0.61366,0.62238,0.61143,0.28708,1.37342,1.68726,1.36183,1.34789,0.00130393,0.00130393,0.00130393
46,588.063,1.16141,1.38919,0.96771,1.13702,0.612,0.69782,0.66398,0.37643,0.54709,0.6458,0.62168,0.31603,1.41507,2.04402,1.34604,1.3303,0.00129568,0.00129568,0.00129568
47,600.869,1.07134,1.31211,0.93497,1.10663,0.59845,0.69722,0.66202,0.40793,0.67588,0.63711,0.67928,0.31821,1.4213,1.70967,1.38316,1.39969,0.00128742,0.00128742,0.00128742
48,615.445,1.1074,1.33422,0.89721,1.12935,0.73898,0.5856,0.64026,0.39062,0.54528,0.66304,0.65965,0.30859,1.36719,1.71366,1.30136,1.37796,0.00127917,0.00127917,0.00127917
49,627.659,1.0675,1.23871,0.8688,1.11936,0.63705,0.63044,0.65847,0.39024,0.63262,0.67703,0.63497,0.33679,1.16572,1.48017,1.02717,1.30192,0.00127092,0.00127092,0.00127092
50,639.204,1.09036,1.36325,0.89791,1.12497,0.71628,0.46279,0.61424,0.38613,0.63674,0.53237,0.63027,0.30529,1.16323,1.54183,1.35714,1.2819,0.00126267,0.00126267,0.00126267
51,654.066,1.08319,1.30182,0.92442,1.11458,0.63428,0.51512,0.61273,0.38031,0.55645,0.62967,0.61012,0.31448,1.3514,1.79222,1.22929,1.31459,0.00125442,0.00125442,0.00125442
52,665.796,1.06122,1.26952,0.88409,1.10973,0.77505,0.59962,0.72309,0.42933,0.64586,0.71442,0.7193,0.35874,1.36128,1.88153,1.22359,1.35616,0.00124617,0.00124617,0.00124617
53,681.154,1.10571,1.32909,0.88903,1.13795,0.66599,0.67162,0.70376,0.3798,0.70599,0.68845,0.70878,0.3422,1.48025,1.56852,1.20385,1.41143,0.00123791,0.00123791,0.00123791
54,691.818,1.05166,1.26721,0.83722,1.09055,0.77365,0.50696,0.65597,0.37432,0.58362,0.69782,0.68955,0.34696,1.63164,1.80531,1.3275,1.43706,0.00122966,0.00122966,0.00122966
55,701.232,1.06261,1.25278,0.84738,1.10355,0.63022,0.61101,0.65365,0.39118,0.68319,0.63556,0.66752,0.34492,1.59421,1.72221,1.28012,1.5013,0.00122141,0.00122141,0.00122141
56,711.805,0.99451,1.22649,0.82911,1.06892,0.64555,0.53821,0.6273,0.36057,0.6896,0.49788,0.63684,0.32508,1.47706,1.79269,1.13137,1.4455,0.00121316,0.00121316,0.00121316
57,723.663,0.97539,1.22794,0.81388,1.05362,0.58907,0.74692,0.71846,0.42762,0.7188,0.62154,0.72458,0.36359,1.51589,1.69347,1.16262,1.41948,0.00120491,0.00120491,0.00120491
58,734.188,0.98226,1.19559,0.80153,1.05233,0.68361,0.69444,0.71316,0.432,0.71598,0.71853,0.73756,0.37342,1.27711,1.56745,1.05819,1.31804,0.00119666,0.00119666,0.00119666
59,744.786,1.01531,1.24483,0.82397,1.08235,0.58936,0.74992,0.71419,0.41149,0.60339,0.76617,0.71467,0.35466,1.41657,1.48075,1.31927,1.41623,0.0011884,0.0011884,0.0011884
60,756.424,0.99907,1.21362,0.78349,1.08146,0.62278,0.73831,0.72252,0.37811,0.78079,0.58469,0.71129,0.34844,1.4933,1.63135,1.05096,1.4564,0.00118015,0.00118015,0.00118015
